Jurisdictions,Total Households,Population 25 years and older,Less than 9th Grade,High School no Diploma,High School Diploma,Some College no degree,Associates degree,Bachelor's degree,Graduate or Professional,Employment Status of the Population 16 years and over,Civilian Labor Force (16 years & over),Employed,Unemployed,Unemployment Rate,Commute Workers 16 yrs and over,Percent Drove Alone,Percent Carpooled,Percent Public Transportation,Percent Walked,Percent Other,Percent Worked at Home,Median Household Income ($),Families,Percent Families in Poverty,Percent Civilian Population w/ Health Ins. Cov.,Total Housing Units,Percent Occupied,Percent Vacant,Total Population,Voting Age Population,Male,Female,White Alone,Black Alone,Asian Alone,American Indian/Alaska Native Alone,Native Hawaiian/Pacific Islander Alone,Some Other Race Alone,Two or More Races,Hispanic or Latino (of any race)
Allegany County,27462,47914,1036,3491,19476,9287,4645,5726,4253,57489,28476,26552,2807,7,26115,81,8.3,0.6,2.5,0.7,7,55248,15770,9.6,96,32882,83.5,17,68161,1777,32882,55605,1036,66784,4895,59108,68,631,5,839
Anne Arundel County,221704,409052,9100,17301,89780,82389,29970,102712,77800,470581,312808,299789,7972,4,306689,73.6,6.5,2.6,1.5,1.1,15,116009,152630,4.1,96,233163,95.1,5,588109,24472,233163,436575,29410,536885,101009,380026,565,23572,268,36884
Baltimore County,328611,589611,19201,29656,143462,111509,43084,136268,106431,688433,453360,429630,19079,5,422546,73.8,7.8,3.2,1.7,1.7,12,88157,210131,7,95,349471,94,6,850737,26333,349471,629172,32886,799040,252089,459907,1212,51521,352,37034
Calvert County,33284,64176,730,2817,18293,13931,5574,12420,10411,74441,48828,47275,1069,3,48004,77,6.1,1.9,0.9,1.1,13,128078,24745,2.8,97,35749,93.1,7,93244,3744,35749,70924,1963,88925,11305,70462,84,1837,49,3046
Caroline County,12013,22837,1226,2332,9012,4772,1451,2362,1682,26411,16795,16020,1160,5,15769,81.5,7.1,0.4,2.7,3,5,65326,8380,9.8,93,13473,89.2,11,33320,1119,13473,24253,2268,30584,4385,24411,20,152,0,2082
Carroll County,63318,120559,2089,4926,33969,22611,10242,28729,17993,140562,94103,91143,2750,3,90034,77.8,6.4,0.5,1,0.6,14,111672,46884,3.5,97,65804,96.2,4,173225,3613,65804,132442,3747,166056,6339,150328,221,3846,24,5133
Cecil County,39338,72203,1663,4511,26216,14847,5650,11804,7512,83618,52778,50196,2565,5,49384,77.5,10.3,0.6,1.7,1.2,9,86869,27538,7.2,96,43957,89.5,11,103876,3136,43957,78970,1319,98807,6816,85729,109,1394,36,4247
Charles County,59205,112613,2386,3870,34021,27325,10034,20490,14487,132209,88994,84642,1827,5,84812,75.8,6.9,4.2,0.6,0.9,12,116882,43205,3.7,96,62362,94.9,5,167035,8976,62362,123068,5576,155766,80640,58914,467,5328,25,6366
Dorchester County,13216,23327,810,2045,9410,4914,1680,2425,2043,26687,15871,15001,1120,6,14681,80.4,10.4,0.4,1.1,0.9,7,57490,8377,8.7,95,16400,80.6,19,32557,1478,16400,25112,697,30565,8327,19973,4,438,0,1861
Frederick County,99891,186771,5864,6707,43730,33238,15753,45788,35691,217616,150270,144673,3910,4,143078,71.9,7.7,1.3,1.5,1.3,16,115724,71714,4.6,96,104217,95.8,4,273829,10353,104217,197982,20931,243757,26801,190325,376,13508,81,18614
Garrett County,12448,21440,634,1400,8779,3330,2018,2893,2386,24411,14213,13555,1214,5,13283,77.9,8.9,1,1.4,0.9,10,64447,8296,7.3,94,18501,67.3,33,28856,191,18501,23492,199,28494,364,27597,13,120,17,374
Harford County,98822,182063,3120,7495,47619,37683,15556,40140,30450,210066,141205,136000,4824,4,134818,78.1,7.2,0.8,0.9,1.3,12,106417,70890,4.7,97,103552,95.4,5,261059,9018,103552,199228,5635,248111,36600,192241,115,7464,120,9366
Howard County,119230,225256,5088,5666,28276,29247,12789,69388,74802,261898,181151,174305,3721,4,173546,70.5,5.7,2.2,1,1.3,19,140971,87714,3.7,96,123428,96.6,3,332011,13805,123428,229438,14476,307188,65349,160556,325,62531,188,18801
Kent County,8375,13958,334,987,4502,2141,780,2939,2275,16670,9594,9279,732,3,9119,71.6,7.2,1.4,8.6,2.2,9,71635,4989,5.1,96,10320,81.2,19,19289,422,10320,15837,310,18389,2715,14823,4,187,1,846
Montgomery County,385284,729862,36062,27754,97385,90394,40143,198924,239200,843577,589278,560749,16370,5,551214,56.9,8,9.4,1.7,2.1,22,125583,266286,4.9,93,403643,95.5,5,1056910,35915,403643,685027,180066,845424,191958,437619,1411,160373,389,162257
Prince George's County,341057,656203,46553,37833,164184,131401,42400,131451,102381,767992,536480,500565,15284,7,492653,62.5,9.9,9.9,1.7,2.8,13,97935,218838,6.2,90,359176,95,5,957189,26735,359176,633380,152766,766216,578048,110790,2033,38720,278,166989
Queen Anne's County,19351,36066,583,1847,10461,7193,2792,8244,4946,40905,27167,26180,834,4,25693,78.9,6.9,0.8,1.4,0.5,12,108332,14299,3.7,95,21405,90.4,10,50316,1213,21405,38708,1727,48013,2925,42341,9,557,0,2541
St. Mary's County,41211,76139,2000,4231,22504,15076,5742,15055,11531,89977,59479,57306,1530,4,58080,76.9,5.2,1.1,1.9,1.2,14,113668,29137,6.6,96,45665,90.2,10,113814,4902,45665,84108,3025,107343,16247,81673,62,2818,0,5507
Somerset County,8355,16964,541,2061,6585,3600,1319,1965,893,21073,10393,9661,647,7,9396,73.2,11.6,0.4,3.7,4.4,7,52149,5316,15.6,96,10938,76.4,24,24672,929,10938,20038,535,23684,9595,12785,38,206,0,505
Talbot County,16270,28623,663,1569,6838,5604,2084,6565,5300,31651,17615,17056,1121,3,16883,72.4,7.8,0.7,2.8,2.2,14,81667,10098,6.3,96,19606,83,17,37663,748,19606,29400,1689,34919,4563,28773,40,488,0,2000
Washington County,59051,108258,3359,9164,39512,22661,8688,14675,10199,124977,74680,70953,4732,5,70057,76.8,8.9,1.3,1.4,1.7,10,73017,39768,8.6,95,63701,92.7,7,154645,6292,63701,117187,5233,145015,17099,117939,114,2693,131,5707
Wicomico County,39939,65721,2467,5060,21034,12684,5451,11476,7549,83687,54622,50869,3325,7,50503,80.8,9.2,0.7,1.6,1.6,6,69421,25668,8,94,43708,91.4,9,103815,4214,43708,76542,2670,97866,26794,63056,92,2922,28,4413
Worcester County,23457,40258,639,1971,12135,9510,3085,8043,4875,44856,26364,24644,1865,7,24119,78.2,6.8,1.2,2.7,1.4,10,76689,14959,5.1,94,56399,41.6,58,52827,1162,56399,42569,833,50804,6459,41717,20,802,0,1701
Baltimore city,247232,410221,16276,36799,115541,77271,21160,72434,70740,477510,295854,275370,19011,7,270605,57.5,7.7,12.8,5.5,3.1,13,58349,119434,14.5,95,293555,84.2,16,584548,15944,293555,442181,20282,550167,354555,157912,1078,14875,113,26591
