name_right,num_trails,total_length,avg_difficulty,avg_rating,total_popularity,accessibility_score
Allegany,14,330719.37,2.4285714285714284,3.892857142857143,62.0102,530123.6960294117
Anne Arundel,45,220962.38199999998,1.2666666666666666,3.9,243.6602,680331.5445789474
Baltimore,136,861157.834,1.9852941176470589,4.113970588235294,801.3481,1784510.4004555556
Baltimore City,14,79340.462,1.1428571428571428,4.0,77.9556,277691.617
Calvert,22,120539.56599999999,2.272727272727273,4.159090909090909,86.06519999999999,220587.40577999997
Caroline,5,35083.612,1.4,3.1,14.6445,77685.14085714286
Carroll,31,190384.922,1.903225806451613,3.935483870967742,180.0473,393677.296338983
Cecil,17,124723.85,2.411764705882353,4.235294117647059,87.1703,219027.24878048783
Charles,14,78696.726,1.1428571428571428,2.4285714285714284,31.6064,167230.54274999996
Frederick,91,766367.708,2.4065934065934065,4.15934065934066,700.3176,1324521.3583470322
Garrett,19,131644.012,2.263157894736842,4.052631578947368,105.1848,235734.62613953484
Harford,33,174452.456,1.7878787878787878,4.166666666666667,238.0589,406562.9271186441
Howard,80,520460.556,2.05,4.1375,509.6144,1050441.7319268293
Kent,5,4023.35,1.0,3.7,10.864,14886.395
Montgomery,127,1148103.156,1.7244094488188977,4.137795275590551,683.294,2754923.3263835614
Prince George's,36,291451.474,1.3333333333333333,4.041666666666667,172.0794,883462.2805625
Queen Anne's,5,38624.159999999996,1.0,3.7,18.7962,142909.392
Somerset,1,1770.274,1.0,4.0,2.8341,7081.096
St. Mary's,5,34439.876,1.4,3.9,27.2361,95939.65457142857
Washington,34,568740.756,2.2941176470588234,4.220588235294118,216.0572,1046337.1600769232
Wicomico,4,10943.512,1.0,3.25,8.2099,35566.414000000004
Worcester,14,115872.48,1.4285714285714286,3.5357142857142856,47.6745,286784.388
