Jurisdiction,num_trails,total_length,avg_difficulty,avg_rating,total_popularity,accessibility_score,Number_of_Parks,Amount,Median Household Income ($),Percent Families in Poverty,Total Population,White Alone,Black Alone,TOTAL Publicly Owned,All races/ ethnicities (aggregated),Black or African American Non-Hispanic/Latino,White Non-Hispanic/Latino,Percent Walked,Unemployment Rate,Percent Civilian Population w/ Health Ins. Cov.,Bachelor's degree
Allegany,14.0,330719.37,2.4285714285714284,3.892857142857143,62.0102,530123.6960294117,14.0,5047835.0,55248.0,9.6,68161.0,1036.0,66784.0,77313.0,45.0,0.0,44.8,2.5,7.0,96.0,5726.0
Anne Arundel,45.0,220962.382,1.2666666666666666,3.9,243.6602,680331.5445789474,3.0,206070.0,116009.0,4.1,588109.0,29410.0,536885.0,36269.1,54.0,46.5,58.5,1.5,4.0,96.0,102712.0
Baltimore,136.0,861157.834,1.9852941176470589,4.113970588235294,801.3481,1784510.4004555556,13.0,3087854.0,88157.0,7.0,850737.0,32886.0,799040.0,51110.0,50.5,46.6,54.3,1.7,5.0,95.0,136268.0
Baltimore City,14.0,79340.462,1.1428571428571428,4.0,77.9556,277691.617,1.0,343300.0,58349.0,14.5,584548.0,20282.0,550167.0,5068.0,47.4,43.3,56.0,5.5,7.0,95.0,72434.0
Calvert,22.0,120539.566,2.272727272727273,4.159090909090909,86.06519999999999,220587.40577999997,1.0,33000.0,128078.0,2.8,93244.0,1963.0,88925.0,7512.9,52.0,0.0,53.7,0.9,3.0,97.0,12420.0
Caroline,5.0,35083.612,1.4,3.1,14.6445,77685.14085714286,6.0,220321.0,65326.0,9.8,33320.0,2268.0,30584.0,8119.2,45.3,0.0,55.0,2.7,5.0,93.0,2362.0
Carroll,31.0,190384.922,1.903225806451613,3.935483870967742,180.0473,393677.296338983,3.0,2383500.0,111672.0,3.5,173225.0,3747.0,166056.0,12969.51,55.9,0.0,57.2,1.0,3.0,97.0,28729.0
Cecil,17.0,124723.85,2.411764705882353,4.235294117647059,87.1703,219027.24878048783,14.0,582802.0,86869.0,7.2,103876.0,1319.0,98807.0,28850.0,50.7,0.0,52.2,1.7,5.0,96.0,11804.0
Charles,14.0,78696.726,1.1428571428571428,2.4285714285714284,31.6064,167230.54274999996,3.0,1886266.0,116882.0,3.7,167035.0,5576.0,155766.0,27071.4,53.2,53.8,52.8,0.6,5.0,96.0,20490.0
Dorchester,,,,,,,0.0,0.0,57490.0,8.7,32557.0,697.0,30565.0,82939.1,45.2,46.6,46.5,1.1,6.0,95.0,2425.0
Frederick,91.0,766367.708,2.4065934065934065,4.15934065934066,700.3176,1324521.3583470322,9.0,510311.0,115724.0,4.6,273829.0,20931.0,243757.0,34883.0,56.2,42.9,58.5,1.5,4.0,96.0,45788.0
Garrett,19.0,131644.012,2.263157894736842,4.052631578947368,105.1848,235734.62613953484,16.0,969024.0,64447.0,7.3,28856.0,199.0,28494.0,96950.4,56.4,0.0,55.8,1.4,5.0,94.0,2893.0
Harford,33.0,174452.456,1.7878787878787878,4.166666666666667,238.0589,406562.9271186441,2.0,116287.0,106417.0,4.7,261059.0,5635.0,248111.0,13793.6,58.7,0.0,58.7,0.9,4.0,97.0,40140.0
Howard,80.0,520460.556,2.05,4.1375,509.6144,1050441.731926829,11.0,505864.0,140971.0,3.7,332011.0,14476.0,307188.0,25941.2,56.4,67.0,57.2,1.0,4.0,96.0,69388.0
Kent,5.0,4023.35,1.0,3.7,10.864,14886.395,1.0,6625.0,71635.0,5.1,19289.0,310.0,18389.0,8294.2,52.3,0.0,60.0,8.6,3.0,96.0,2939.0
Montgomery,127.0,1148103.156,1.7244094488188977,4.137795275590551,683.294,2754923.326383562,8.0,637296.0,125583.0,4.9,1056910.0,180066.0,845424.0,59377.0,52.8,48.8,62.3,1.7,5.0,93.0,198924.0
Prince George's,36.0,291451.474,1.3333333333333333,4.041666666666667,172.0794,883462.2805625,6.0,395073.0,97935.0,6.2,957189.0,152766.0,766216.0,53043.0,50.4,50.6,62.4,1.7,7.0,90.0,131451.0
Queen Anne's,5.0,38624.16,1.0,3.7,18.7962,142909.392,2.0,179040.0,108332.0,3.7,50316.0,1727.0,48013.0,9106.08,56.4,0.0,57.1,1.4,4.0,95.0,8244.0
Somerset,1.0,1770.274,1.0,4.0,2.8341,7081.096,2.0,5969971.0,52149.0,15.6,24672.0,535.0,23684.0,55886.0,41.2,0.0,41.2,3.7,7.0,96.0,1965.0
St. Mary's,5.0,34439.876,1.4,3.9,27.2361,95939.65457142856,8.0,295447.0,113668.0,6.6,113814.0,3025.0,107343.0,12345.0,55.2,51.1,56.5,1.9,4.0,96.0,15055.0
Talbot,,,,,,,3.0,1077847.0,81667.0,6.3,37663.0,1689.0,34919.0,1003.6,54.2,0.0,57.5,2.8,3.0,96.0,6565.0
Washington,34.0,568740.756,2.2941176470588234,4.220588235294118,216.0572,1046337.1600769232,5.0,355510.0,73017.0,8.6,154645.0,5233.0,145015.0,32970.3,52.3,0.0,51.8,1.4,5.0,95.0,14675.0
Wicomico,4.0,10943.512,1.0,3.25,8.2099,35566.414000000004,1.0,50000.0,69421.0,8.0,103815.0,2670.0,97866.0,29537.78,50.7,37.3,54.8,1.6,7.0,94.0,11476.0
Worcester,14.0,115872.48,1.4285714285714286,3.5357142857142856,47.6745,286784.388,8.0,364101.0,76689.0,5.1,52827.0,833.0,50804.0,54569.75,54.3,0.0,56.7,2.7,7.0,94.0,8043.0
